bug_line,signal,is_libc,is_rfsimulator,category,test_case
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_1_20251214_141450.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_1_20251214_141507.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_1_20251214_141524.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_2_20251214_141454.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_2_20251214_141511.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_102_mut2/ue_crash_2_20251214_141529.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_106_mut2/ue_crash_1_20251214_141727.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:3676,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_106_mut2/ue_crash_2_20251214_141807.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_0_20251214_174022.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_0_20251214_174038.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_1_20251214_174025.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_1_20251214_174042.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_1_20251214_174058.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:4598,SIGABRT,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_395_mut2/ue_crash_2_20251214_174103.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5109,SIGABRT,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f831_f832/ue_crash_1_20260113_033026.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5109,SIGABRT,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f831_f832/ue_crash_1_20260113_033037.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5109,SIGABRT,False,False,c3,c3_c4_gdb_results/c3_compiled_intra-IE_mac_sch_f831_f832/ue_crash_1_20260113_033047.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_0_20251214_224249.log
